id,created_at,updated_at,name,innoforest_company_code,thevc_company_code,note,business_number,business_category
62,2024-10-04 12:29:40.796 +0900,2025-03-06 10:25:25.155 +0900,에이비일팔공,CP00000487,,,,"애드테크,마케팅솔루션,소비자조사,B2B,용역,WEB,소프트웨어,교육/컨설팅/용역,"
46,2024-10-04 12:29:32.239 +0900,2025-03-06 10:22:08.639 +0900,데이터라이즈,CP00010476,,,,"이커머스,애드테크,마케팅솔루션,소비자조사,데이터,B2B,SaaS/엔터프라이즈,소프트웨어,교육/컨설팅/용역,데이터/API,비대면/무인시스템/Untact,"
52,2024-10-04 12:29:35.032 +0900,2025-03-06 10:22:22.091 +0900,아임웹,CP00003064,,,,"디자인,B2B,B2C,플랫폼/마켓플레이스,SaaS/엔터프라이즈,WEB,소프트웨어,콘텐츠,교육/컨설팅/용역,"
54,2024-10-04 12:29:36.076 +0900,2025-03-06 10:22:27.666 +0900,바로팜,CP00010765,,,,"바이오/의료,이커머스,도매,"
58,2024-10-04 12:29:38.527 +0900,2025-03-06 10:22:11.362 +0900,왓챠,CP00000001,,,,"APP,WEB,OTT,영화,영상/비디오,B2C,구독,플랫폼/마켓플레이스,콘텐츠,검색/검색엔진,스트리밍,"
61,2024-10-04 12:29:40.235 +0900,2025-03-06 10:21:23.580 +0900,발란,CP00001970,,,,"이커머스,직구/역직구,유통,의류,신발,패션잡화,쥬얼리,명품/중고명품,B2C,플랫폼/마켓플레이스,거래수수료,APP,WEB,O2O,"
1258,2025-03-06 20:49:38.497 +0900,2025-03-06 20:49:38.524 +0900,더치트,CP00001453,,,,"APP,WEB,커뮤니티,B2C,플랫폼/마켓플레이스,"
57,2024-10-04 12:29:37.764 +0900,2025-03-06 10:21:52.830 +0900,버드뷰,CP00000078,,,,"뷰티테크,화장품정보/리뷰,스킨케어/클렌징,색조/메이크업,헤어/바디,이커머스,B2C,플랫폼/마켓플레이스,APP,빅데이터,O2O,"
39,2024-10-04 12:29:28.179 +0900,2025-03-06 10:21:59.782 +0900,뤼이드,CP00000079,,,,"외국어,영어,인공지능,수학,딥러닝/머신러닝,B2C,플랫폼/마켓플레이스,구독,APP,콘텐츠,O2O,비대면/무인시스템/Untact,에듀테크,"
38,2024-10-04 12:29:27.379 +0900,2025-03-06 10:21:33.610 +0900,두들린,CP00003213,,,,"구인구직/채용,조직관리/조직문화,협업툴/생산성,클라우드,프로그래밍개발,B2B,SaaS/엔터프라이즈,소프트웨어,"
56,2024-10-04 12:29:37.322 +0900,2025-03-06 10:23:32.772 +0900,두나무,CP00000097,,,,"투자,주식/증권,B2C,플랫폼/마켓플레이스,거래수수료,APP,WEB,금융상품,기타DeepTech,"
45,2024-10-04 12:29:31.524 +0900,2025-03-06 10:22:25.762 +0900,번개장터,CP00000024,,,,"중고,커뮤니티,B2C,플랫폼/마켓플레이스,광고,APP,WEB,중고거래/중고명품,리셀,"
44,2024-10-04 12:29:31.009 +0900,2025-03-06 10:22:17.176 +0900,엘리스그룹,CP00000298,,,,"성인실무교육,프로그래밍개발,B2C,플랫폼/마켓플레이스,WEB,콘텐츠,교육/컨설팅/용역,O2O,에듀테크,코딩,인공지능,"
55,2024-10-04 12:29:36.538 +0900,2025-03-06 10:22:54.056 +0900,백패커,CP00000041,,,,"이커머스,반찬,디저트,가공식품,생활용품/소품,문구,B2C,플랫폼/마켓플레이스,거래수수료,APP,WEB,상품/하드웨어,교육/컨설팅/용역,O2O,"
60,2024-10-04 12:29:39.470 +0900,2025-03-06 10:22:55.475 +0900,트레바리,CP00000204,,,,"커뮤니티,APP,WEB,B2C,플랫폼/마켓플레이스,콘텐츠,교육/컨설팅/용역,"
63,2024-10-04 12:29:41.530 +0900,2025-03-06 10:23:53.329 +0900,정육각,CP00000007,,,,"신선식품,APP,WEB,축산업,이커머스,유통,B2C,플랫폼/마켓플레이스,거래수수료,"
53,2024-10-04 12:29:35.457 +0900,2025-03-06 10:22:12.187 +0900,원티드랩,CP00000061,,,,"구인구직/채용,조직관리/조직문화,인공지능,빅데이터,B2B,플랫폼/마켓플레이스,용역,APP,교육/컨설팅/용역,O2O,"
66,2024-10-04 12:29:42.983 +0900,2025-03-06 10:23:04.632 +0900,리디,CP00000016,,,,"정기구독,웹툰/만화,B2C,플랫폼/마켓플레이스,구독,APP,WEB,콘텐츠,구독경제,웹소설,"
40,2024-10-04 12:29:28.749 +0900,2025-03-06 10:21:41.370 +0900,미리디,CP00010383,,,,"마케팅솔루션,디자인,B2C,플랫폼/마켓플레이스,SaaS/엔터프라이즈,WEB,콘텐츠,교육/컨설팅/용역,"
51,2024-10-04 12:29:34.530 +0900,2025-03-06 10:23:06.276 +0900,크림,CP00003078,,,,"의류,APP,WEB,리셀,신발,패션잡화,중고패션,명품/중고명품,중고,이커머스,B2C,플랫폼/마켓플레이스,거래수수료,중고거래/중고명품,"
41,2024-10-04 12:29:29.169 +0900,2025-03-06 10:21:21.081 +0900,힐링페이퍼,CP00000267,,,,"커뮤니티,병원정보,B2C,플랫폼/마켓플레이스,APP,WEB,"
69,2024-10-04 12:29:44.431 +0900,2025-03-06 10:26:11.936 +0900,몰로코,CP00000109,,,,"애드테크,마케팅솔루션,딥러닝/머신러닝,빅데이터,B2B,SaaS/엔터프라이즈,교육/컨설팅/용역,"
42,2024-10-04 12:29:29.847 +0900,2025-03-06 10:24:09.607 +0900,오피지지,CP00000009,,,,"커뮤니티,LOL,B2C,플랫폼/마켓플레이스,광고,APP,WEB,콘텐츠,코로나,"
36,2024-10-03 20:21:38.669 +0900,2025-03-06 20:48:38.774 +0900,네이버파이낸셜,CP00012168,,,,"결제/페이먼트,송금,이커머스,B2C,거래수수료,소프트웨어,"
70,2024-10-04 12:29:44.931 +0900,2025-03-06 12:00:34.939 +0900,베어로보틱스코리아,CP00010764,,,,"로봇,제조기술,B2B,상품판매/브랜드/하드웨어,상품/하드웨어,비대면/무인시스템/Untact,스마트오더,"
71,2024-10-04 12:29:45.394 +0900,2025-03-06 10:26:39.406 +0900,미미박스,CP00000017,,,,"이커머스,정기구독,커뮤니티,스킨케어/클렌징,색조/메이크업,미용기기,화장품정보/리뷰,B2C,여성,플랫폼/마켓플레이스,구독,거래수수료,WEB,상품/하드웨어,구독경제,"
35,2024-10-03 20:21:38.047 +0900,2025-03-06 20:48:29.241 +0900,네이버제트,CP00002044,,,,"VR/AR,3D그래픽/CG,B2C,광고,APP,콘텐츠,비대면/무인시스템/Untact,메타버스 ,"
1504,2025-03-06 20:54:06.103 +0900,2025-03-06 20:54:06.130 +0900,팩토스퀘어,CP00015557,,,,"제조기술,데이터,B2B,WEB,하드웨어,"
65,2024-10-04 12:29:42.583 +0900,2025-03-06 10:30:03.033 +0900,메가존클라우드,CP00000875,,,,"클라우드,프로그래밍개발,B2B,SaaS/엔터프라이즈,거래수수료,WEB,교육/컨설팅/용역,빅데이터,"
67,2024-10-04 12:29:43.446 +0900,2025-03-06 12:00:23.169 +0900,베스핀글로벌,CP00000093,,,,"클라우드,B2B,SaaS/엔터프라이즈,교육/컨설팅/용역,인공지능,딥러닝/머신러닝,"
64,2024-10-04 12:29:42.138 +0900,2025-03-06 20:48:31.467 +0900,크래프톤,CP00000058,,,,"FPS,APP,WEB,RPG,MMORPG,B2C,SaaS/엔터프라이즈,거래수수료,소프트웨어,콘텐츠,"
1505,2025-03-06 20:54:06.892 +0900,2025-03-06 20:54:06.919 +0900,마인드허브,CP00012932,,,,"디지털헬스케어,B2B,B2C,바이오/의료,SaaS/엔터프라이즈,소프트웨어,"
73,2024-10-04 12:29:46.289 +0900,2024-10-04 12:29:46.312 +0900,바로고,CP00000139,,,,"물류솔루션,배송대행,라스트마일,B2B,용역,O2O,"
74,2024-10-04 12:29:46.672 +0900,2025-03-06 12:00:24.175 +0900,포티투닷,CP00001526,,,,"자율주행,교통솔루션,택시,B2B,B2C,플랫폼/마켓플레이스,APP,소프트웨어,"
1259,2025-03-06 20:49:39.045 +0900,2025-03-06 20:49:39.072 +0900,투믹스,CP00001792,,,,"APP,WEB,웹툰/만화,B2C,플랫폼/마켓플레이스,거래수수료,콘텐츠,"
82,2024-10-04 12:29:50.345 +0900,2025-03-06 10:25:12.195 +0900,패스트파이브,CP00000082,,,,"코워킹,임대,B2B,렌탈/대여,공간,공유경제/긱이코노미,"
80,2024-10-04 12:29:49.439 +0900,2025-03-06 10:22:07.307 +0900,고위드,CP00001525,,,,"대출,B2B,스타트업/창업자,SaaS/엔터프라이즈,구독,소프트웨어,교육/컨설팅/용역,구독경제,"
75,2024-10-04 12:29:47.283 +0900,2025-03-06 10:30:03.585 +0900,루닛,CP00000065,,,,"디지털헬스케어,진단/검사,암,B2B,SaaS/엔터프라이즈,소프트웨어,인공지능,딥러닝/머신러닝,O2O,비대면/무인시스템/Untact,"
84,2024-10-04 12:29:51.325 +0900,2025-03-06 10:22:19.951 +0900,데이원컴퍼니,CP00000793,,,,"영상/비디오,성인실무교육,비대면교육,B2C,B2B,플랫폼/마켓플레이스,WEB,콘텐츠,교육/컨설팅/용역,비대면/무인시스템/Untact,에듀테크,"
81,2024-10-04 12:29:49.891 +0900,2024-10-04 12:29:49.913 +0900,만나코퍼레이션,CP00003404,,,,"배송대행,물류솔루션,경리/경영관리,배달,B2B,플랫폼/마켓플레이스,용역,소프트웨어,교육/컨설팅/용역,O2O,"
79,2024-10-04 12:29:49.073 +0900,2025-03-06 10:29:57.926 +0900,부릉,CP00000075,,,,"배송대행,풀필먼트,라스트마일,배달,인공지능,빅데이터,B2B,용역,교육/컨설팅/용역,"
83,2024-10-04 12:29:50.892 +0900,2024-10-04 12:29:50.916 +0900,알스퀘어,CP00010159,,,,"부동산중개,임대,인테리어,리모델링,가구,B2B,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,용역,WEB,상품/하드웨어,교육/컨설팅/용역,"
72,2024-10-04 12:29:45.827 +0900,2025-03-06 10:22:44.355 +0900,스푼랩스,CP00000010,,,,"라디오,커뮤니티,B2C,플랫폼/마켓플레이스,거래수수료,APP,WEB,콘텐츠,스트리밍,"
47,2024-10-04 12:29:32.647 +0900,2025-03-06 10:21:18.128 +0900,업스테이지,CP00011953,,,,"프로그래밍개발,인공지능,B2B,SaaS/엔터프라이즈,소프트웨어,생성형AI,"
87,2025-03-06 10:18:30.898 +0900,2025-03-06 10:21:19.263 +0900,딜라이트룸,CP00010443,,,,"커뮤니티,모바일기술,프로그래밍개발,B2C,상품판매/브랜드/하드웨어,APP,콘텐츠,"
88,2025-03-06 10:18:31.433 +0900,2025-03-06 10:21:19.812 +0900,마들렌메모리,CP00010677,,,,"의류,명품/중고명품,패션테크,중고패션,중고,"
89,2025-03-06 10:18:32.033 +0900,2025-03-06 10:21:20.227 +0900,자란다,CP00000385,,,,"선생님,APP,WEB,에듀테크,여성창업 ,유아교육,초등교육,B2C,플랫폼/마켓플레이스,구독,교육/컨설팅/용역,O2O,구독경제,"
97,2025-03-06 10:21:32.713 +0900,2025-03-06 10:21:32.738 +0900,에이블리코퍼레이션,CP00001723,,,,"의류,신발,패션잡화,쥬얼리,이커머스,리뷰,B2C,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,APP,인공지능,빅데이터,"
98,2025-03-06 10:21:34.397 +0900,2025-03-06 10:21:34.420 +0900,마이리얼트립,CP00000072,,,,"숙박,항공권,여행정보,레저/액티비티,B2C,플랫폼/마켓플레이스,APP,O2O,"
99,2025-03-06 10:21:34.882 +0900,2025-03-06 10:21:34.907 +0900,위밋모빌리티,CP00002126,,,,"지도/네비게이션/GPS,GIS/지리정보,B2B,B2C,SaaS/엔터프라이즈,APP,WEB,데이터/API,"
85,2025-03-05 23:28:32.686 +0900,2025-03-06 10:21:14.033 +0900,디버,CP00001711,,,,"배송,B2B,B2C,배송대행,퀵서비스,플랫폼/마켓플레이스,"
4,2024-10-03 20:21:17.671 +0900,2025-03-06 10:21:15.133 +0900,두잇,CP00011268,,,,"배송,배달,B2C,플랫폼/마켓플레이스,APP,WEB,공유경제/긱이코노미,"
86,2025-03-06 10:18:29.965 +0900,2025-03-06 10:21:16.340 +0900,시놀,CP00014379,,,,"커뮤니티,데이팅,인공지능,B2C,시니어/실버,플랫폼/마켓플레이스,APP,콘텐츠,데이터/API,O2O,비대면/무인시스템/Untact,"
90,2025-03-06 10:18:33.106 +0900,2025-03-06 10:21:21.501 +0900,의식주컴퍼니,CP00000237,,,,"세탁,B2C,플랫폼/마켓플레이스,APP,비대면/무인시스템/Untact,"
91,2025-03-06 10:18:33.795 +0900,2025-03-06 10:21:21.955 +0900,뤼튼테크놀로지스,CP00003304,,,,"생성형AI,콘텐츠,비대면교육,인공지능,B2C,구독,교육/컨설팅/용역,비대면/무인시스템/Untact,소프트웨어,"
92,2025-03-06 10:18:35.504 +0900,2025-03-06 10:21:25.198 +0900,바인드,CP00013644,,,,"의류,신발,스포츠/운동,이커머스,남성,플랫폼/마켓플레이스,B2C,패션잡화,레저/액티비티,상품판매/브랜드/하드웨어,"
93,2025-03-06 10:21:26.276 +0900,2025-03-06 10:21:26.302 +0900,플랜닥스,CP00019156,,,,"미용기기,의료기기,이커머스,B2B,플랫폼/마켓플레이스,WEB,"
94,2025-03-06 10:21:27.931 +0900,2025-03-06 10:21:27.953 +0900,클래스101,CP00000042,,,,"이커머스,영상/비디오,취미교육,비대면교육,B2C,플랫폼/마켓플레이스,구독,거래수수료,APP,WEB,콘텐츠,교육/컨설팅/용역,비대면/무인시스템/Untact,에듀테크,"
95,2025-03-06 10:21:30.833 +0900,2025-03-06 10:21:30.857 +0900,문토,CP00011078,,,,"SNS,커뮤니티,B2C,플랫폼/마켓플레이스,APP,여성창업 ,"
96,2025-03-06 10:21:31.432 +0900,2025-03-06 10:21:31.456 +0900,마인이스,CP00013448,,,,"중고,의류,패션잡화,중고패션,패션테크,B2C,플랫폼/마켓플레이스,APP,중고거래/중고명품,리셀,"
100,2025-03-06 10:21:35.924 +0900,2025-03-06 10:21:35.962 +0900,아정네트웍스,CP00014881,,,,"가전,통신/네트워크/5G,B2C,렌탈/대여,WEB,"
76,2024-10-04 12:29:47.708 +0900,2025-03-06 10:21:37.071 +0900,매스프레소,CP00000089,,,,"수학,APP,WEB,에듀테크,B2C,플랫폼/마켓플레이스,콘텐츠,인공지능,딥러닝/머신러닝,검색/검색엔진,O2O,비대면/무인시스템/Untact,"
101,2025-03-06 10:21:37.535 +0900,2025-03-06 10:21:37.561 +0900,모요,CP00010384,,,,"데이터,통신/네트워크/5G,플랫폼/마켓플레이스,WEB,구독,정기구독,B2C,소프트웨어,"
102,2025-03-06 10:21:38.081 +0900,2025-03-06 10:21:38.105 +0900,써밋플레이,CP00012633,,,,"음악,거래소,P2P,B2C,플랫폼/마켓플레이스,SaaS/엔터프라이즈,APP,소프트웨어,"
103,2025-03-06 10:21:38.954 +0900,2025-03-06 10:21:38.984 +0900,글로랑,CP00002753,,,,"초등교육,유아교육,에듀테크,커뮤니티,B2C,플랫폼/마켓플레이스,APP,WEB,콘텐츠,비대면/무인시스템/Untact,"
104,2025-03-06 10:21:39.665 +0900,2025-03-06 10:21:39.690 +0900,달파,CP00014650,,,,"프로그래밍개발,인공지능,B2B,소프트웨어,데이터/API,"
105,2025-03-06 10:21:42.213 +0900,2025-03-06 10:21:42.239 +0900,페이타랩,CP00002141,,,,"스마트오더,소상공인,B2B,B2C,SaaS/엔터프라이즈,거래수수료,소프트웨어,오프라인매장,"
106,2025-03-06 10:21:42.766 +0900,2025-03-06 10:21:42.791 +0900,보이저엑스,CP00003330,,,,"영상/비디오,사진,프로그래밍개발,인공지능,B2C,SaaS/엔터프라이즈,APP,WEB,소프트웨어,콘텐츠,생성형AI,"
107,2025-03-06 10:21:43.291 +0900,2025-03-06 10:21:43.315 +0900,페이히어,CP00002430,,,,"결제/페이먼트,POS,B2B,SaaS/엔터프라이즈,APP,WEB,상품/하드웨어,소프트웨어,오프라인매장,스마트오더,"
1304,2025-03-06 20:50:08.274 +0900,2025-03-06 20:50:08.299 +0900,아레스3,CP00017461,,,,"꽃,정기구독,이커머스,B2C,상품/하드웨어,상품판매/브랜드/하드웨어,WEB,"
77,2024-10-04 12:29:48.187 +0900,2025-03-06 10:23:00.398 +0900,트릿지,CP00003399,,,,"유통,애그테크,물류솔루션,풀필먼트,신선식품,농업,수산업,B2B,플랫폼/마켓플레이스,WEB,"
108,2025-03-06 10:21:43.965 +0900,2025-03-06 10:21:43.989 +0900,앳홈,CP00016291,,,,"매트리스,가구,생활용품/소품,B2C,이커머스,상품/하드웨어,상품판매/브랜드/하드웨어,WEB,"
109,2025-03-06 10:21:44.720 +0900,2025-03-06 10:21:44.752 +0900,플렉스,CP00002090,,,,"조직관리/조직문화,인사솔루션,전자계약,회계,경리/경영관리,클라우드,프로그래밍개발,B2B,SaaS/엔터프라이즈,구독,용역,소프트웨어,비대면/무인시스템/Untact,"
110,2025-03-06 10:21:45.350 +0900,2025-03-06 10:21:45.374 +0900,비즈니스캔버스,CP00001708,,,,"협업툴/생산성,B2B,B2C,SaaS/엔터프라이즈,구독,WEB,상품/하드웨어,공간,구독경제,"
